entry_id,co2_ppm,ch4_ppm,created_at,fecha
2449,828,821.71881,2025-08-20T19:49:10-05:00,2025-08-20
2450,943,935.62506,2025-08-20T20:34:32-05:00,2025-08-20
2451,860,849.84375,2025-08-20T20:34:56-05:00,2025-08-20
2452,831,828.04681,2025-08-20T20:35:20-05:00,2025-08-20
2453,829,824.53131,2025-08-20T20:35:44-05:00,2025-08-20
2454,824,818.20306,2025-08-20T20:36:08-05:00,2025-08-20
2455,814,807.65619,2025-08-20T20:36:32-05:00,2025-08-20
2456,805,799.21887,2025-08-20T20:36:56-05:00,2025-08-20
2457,860,853.35944,2025-08-20T20:38:25-05:00,2025-08-20
2458,847,843.51575,2025-08-20T20:38:54-05:00,2025-08-20
2459,842,836.48431,2025-08-20T20:39:25-05:00,2025-08-20
2460,826,819.60944,2025-08-20T20:39:55-05:00,2025-08-20
2461,804,797.10931,2025-08-20T20:40:25-05:00,2025-08-20
2462,806,802.73431,2025-08-20T20:40:55-05:00,2025-08-20
2463,798,778.12506,2025-08-20T20:41:53-05:00,2025-08-20
2464,776,772.5,2025-08-20T20:42:23-05:00,2025-08-20
2465,771,766.17181,2025-08-20T20:42:53-05:00,2025-08-20
2466,772,761.24994,2025-08-20T20:43:26-05:00,2025-08-20
2467,768,764.76562,2025-08-20T20:43:53-05:00,2025-08-20
2468,770,764.76562,2025-08-20T20:44:23-05:00,2025-08-20
2469,772,764.06244,2025-08-20T20:44:53-05:00,2025-08-20
2470,770,767.57819,2025-08-20T20:45:23-05:00,2025-08-20
2471,772,766.875,2025-08-20T20:45:53-05:00,2025-08-20
2472,773,772.5,2025-08-20T20:46:23-05:00,2025-08-20
2473,773,767.57819,2025-08-20T20:46:53-05:00,2025-08-20
2474,778,774.60937,2025-08-20T20:47:23-05:00,2025-08-20
2475,778,768.98431,2025-08-20T20:47:53-05:00,2025-08-20
2476,777,773.20319,2025-08-20T20:48:23-05:00,2025-08-20
2477,779,775.31256,2025-08-20T20:48:53-05:00,2025-08-20
2478,775,768.98431,2025-08-20T20:49:23-05:00,2025-08-20
2479,775,769.6875,2025-08-20T20:49:53-05:00,2025-08-20
2480,777,777.42187,2025-08-20T20:50:27-05:00,2025-08-20
2481,778,774.60937,2025-08-20T20:50:54-05:00,2025-08-20
2482,777,776.01575,2025-08-20T20:51:25-05:00,2025-08-20
2483,779,776.71869,2025-08-20T20:51:55-05:00,2025-08-20
2484,778,772.5,2025-08-20T20:52:24-05:00,2025-08-20
2485,779,778.82825,2025-08-20T20:52:55-05:00,2025-08-20
2486,780,776.01575,2025-08-20T20:53:25-05:00,2025-08-20
2487,780,774.60937,2025-08-20T20:53:54-05:00,2025-08-20
2488,775,769.6875,2025-08-20T20:54:25-05:00,2025-08-20
2489,803,808.35937,2025-08-20T20:54:57-05:00,2025-08-20
2490,1361,1273.125,2025-08-20T20:55:24-05:00,2025-08-20
2493,900,891.32812,2025-08-20T20:56:54-05:00,2025-08-20
2494,862,856.87494,2025-08-20T20:57:24-05:00,2025-08-20
2495,861,855.46881,2025-08-20T20:57:54-05:00,2025-08-20
2496,858,856.172,2025-08-20T20:58:27-05:00,2025-08-20
2497,874,870.93756,2025-08-20T20:58:54-05:00,2025-08-20
2498,869,863.90637,2025-08-20T20:59:24-05:00,2025-08-20
2499,860,856.172,2025-08-20T20:59:54-05:00,2025-08-20
2500,875,870.93756,2025-08-20T21:00:24-05:00,2025-08-20
2501,989,989.76569,2025-08-20T21:00:54-05:00,2025-08-20
2502,932,924.37494,2025-08-20T21:01:27-05:00,2025-08-20
2503,896,887.81244,2025-08-20T21:01:55-05:00,2025-08-20
2504,881,876.56256,2025-08-20T21:02:25-05:00,2025-08-20
2505,865,861.79681,2025-08-20T21:03:45-05:00,2025-08-20
2506,866,863.20319,2025-08-20T21:04:14-05:00,2025-08-20
2507,866,860.39063,2025-08-20T21:04:45-05:00,2025-08-20
2508,863,855.46881,2025-08-20T21:05:14-05:00,2025-08-20
2509,852,848.43762,2025-08-20T21:05:45-05:00,2025-08-20
2510,850,847.73444,2025-08-20T21:06:14-05:00,2025-08-20
2511,891,889.21881,2025-08-20T21:06:45-05:00,2025-08-20
2512,908,901.17188,2025-08-20T21:07:15-05:00,2025-08-20
2513,885,876.56256,2025-08-20T21:07:45-05:00,2025-08-20
2514,874,869.53119,2025-08-20T21:08:15-05:00,2025-08-20
2515,867,865.3125,2025-08-20T21:08:45-05:00,2025-08-20
2516,873,868.82819,2025-08-20T21:09:16-05:00,2025-08-20
2517,869,866.71887,2025-08-20T21:09:45-05:00,2025-08-20
2518,873,868.82819,2025-08-20T21:10:15-05:00,2025-08-20
2519,870,866.01569,2025-08-20T21:10:45-05:00,2025-08-20
2520,867,863.90637,2025-08-20T21:11:15-05:00,2025-08-20
2521,830,825.2345,2025-08-20T21:13:00-05:00,2025-08-20
2522,828,825.2345,2025-08-20T21:13:32-05:00,2025-08-20
2523,822,816.79694,2025-08-20T21:14:00-05:00,2025-08-20
2524,819,814.68762,2025-08-20T21:14:30-05:00,2025-08-20
2525,817,813.98444,2025-08-20T21:15:00-05:00,2025-08-20
2526,816,810.46869,2025-08-20T21:15:30-05:00,2025-08-20
2527,814,809.06256,2025-08-20T21:16:00-05:00,2025-08-20
2528,811,808.35937,2025-08-20T21:16:30-05:00,2025-08-20
2529,813,807.65619,2025-08-20T21:17:00-05:00,2025-08-20
2530,812,809.06256,2025-08-20T21:17:31-05:00,2025-08-20
2531,812,805.54687,2025-08-20T21:18:01-05:00,2025-08-20
2532,812,807.65619,2025-08-20T21:18:33-05:00,2025-08-20
2533,812,809.06256,2025-08-20T21:19:00-05:00,2025-08-20
2534,814,807.65619,2025-08-20T21:19:30-05:00,2025-08-20
2535,815,811.17188,2025-08-20T21:20:00-05:00,2025-08-20
2536,815,811.17188,2025-08-20T21:20:30-05:00,2025-08-20
2537,816,810.46869,2025-08-20T21:21:00-05:00,2025-08-20
2538,815,811.17188,2025-08-20T21:21:30-05:00,2025-08-20
2539,816,811.17188,2025-08-20T21:22:03-05:00,2025-08-20
2540,816,810.46869,2025-08-20T21:22:34-05:00,2025-08-20
2541,815,810.46869,2025-08-20T21:23:00-05:00,2025-08-20
2542,813,809.06256,2025-08-20T21:23:30-05:00,2025-08-20
2543,809,802.03137,2025-08-20T21:24:01-05:00,2025-08-20
2544,808,802.73431,2025-08-20T21:24:30-05:00,2025-08-20
2545,804,800.625,2025-08-20T21:25:00-05:00,2025-08-20
2546,802,799.92181,2025-08-20T21:25:31-05:00,2025-08-20
2547,801,796.40631,2025-08-20T21:26:01-05:00,2025-08-20
2548,802,797.10931,2025-08-20T21:26:31-05:00,2025-08-20
2549,804,799.21887,2025-08-20T21:27:01-05:00,2025-08-20
2550,803,796.40631,2025-08-20T21:27:31-05:00,2025-08-20
2551,803,799.92181,2025-08-20T21:28:03-05:00,2025-08-20
2552,803,799.21887,2025-08-20T21:28:31-05:00,2025-08-20
2553,806,802.03137,2025-08-20T21:29:01-05:00,2025-08-20
2554,804,800.625,2025-08-20T21:29:31-05:00,2025-08-20
2555,800,797.8125,2025-08-20T21:30:01-05:00,2025-08-20
2556,803,800.625,2025-08-20T21:31:01-05:00,2025-08-20
